EntityReferenceResultForPersistAliaType,IsTop,FKTypeFullNameOnTheOtherSide,DefaultOrder,PropertyName_Origin_InThisType,NotInCriteria,NotInDataSourceEntity,IsLeftJoin,ChildEntityReferenceSimpleFullPath,EntityReferenceForeignKeyPath,EntityReferenceFullPath,EntityReferenceSimpleFullPath,IsJoinFromPKToFK,EntityReferenceName,FKPropertyName,FKTypeFullName,PKPropertyName,PKTypeFullName,KeyOfEntityReferenceResultCollectionGroup,KeyOfEntityReferenceResultCollectionGroupCollection,Key,Result
DownTree,True,,1,SolutionId,False,False,False,,\FK_Build_Solution,\MSBuildLogsExtended.Build.SolutionId,\SolutionId,False,t,SolutionId,FK_Build_Solution,Id,MSBuildLogsExtended.Solution,MSBuildLogsExtended.Build,MSBuildLogsExtended.Build,MSBuildLogsExtended.Build,Solution_1
DownTree,False,,1,BuildId,False,False,False,,\FK_BuildLog_Build,\MSBuildLogsExtended.BuildLog.BuildId,\BuildId,False,t,BuildId,FK_BuildLog_Build,Id,MSBuildLogsExtended.Build,MSBuildLogsExtended.BuildLog,MSBuildLogsExtended.BuildLog,MSBuildLogsExtended.BuildLog,Build_1
DownTree,True,,2,BuildId,False,False,False,\BuildId,\FK_BuildLog_Build\FK_Build_Solution,\MSBuildLogsExtended.BuildLog.BuildId\MSBuildLogsExtended.Build.SolutionId,\BuildId\SolutionId,False,Build_1,SolutionId,FK_Build_Solution,Id,MSBuildLogsExtended.Solution,MSBuildLogsExtended.BuildLog,MSBuildLogsExtended.BuildLog,MSBuildLogsExtended.Build,Solution_1
DownTree,True,,1,BuildEventCodeId,False,False,False,,\FK_BuildLog_BuildEventCode,\MSBuildLogsExtended.BuildLog.BuildEventCodeId,\BuildEventCodeId,False,t,BuildEventCodeId,FK_BuildLog_BuildEventCode,Id,MSBuildLogsExtended.BuildEventCode,MSBuildLogsExtended.BuildLog,MSBuildLogsExtended.BuildLog,MSBuildLogsExtended.BuildLog,BuildEventCode_1
